Market,GPAC,Count of Name,Sorting GPAC,Decision
Austria,EOY 2021,2,1,Cohort move
Austria,EOY 2022,4,3,Promotion
Austria,MY 2022,1,2,Cohort move
Belgium,EOY 2021,1,1,Promotion
Belgium,EOY 2022,1,3,Promotion
Belgium,MY 2023,1,4,Cohort move
Belgium,MY 2023,3,4,Promotion
South America,EOY 2021,1,1,Promotion
South America,EOY 2022,1,3,Cohort move
South America,EOY 2022,1,3,Promotion
China,EOY 2021,1,1,Promotion
China,MY 2023,1,4,Cohort move
Czechia,EOY 2021,1,1,Promotion
Czechia,EOY 2022,1,3,Cohort move
France,EOY 2021,2,1,Cohort move
France,EOY 2022,1,3,Cohort move
France,EOY 2022,1,3,Promotion
France,MY 2023,1,4,Promotion
India,EOY 2022,1,3,Promotion
India,MY 2022,1,2,Cohort move
Italy,EOY 2021,3,1,Promotion
Italy,EOY 2022,1,3,Cohort move
Italy,EOY 2022,1,3,Promotion
Italy,MY 2023,1,4,Cohort move
Japan,EOY 2021,3,1,Cohort move
Japan,EOY 2021,2,1,Promotion
Japan,EOY 2022,4,3,Cohort move
Japan,EOY 2022,2,3,Promotion
Japan,MY 2022,6,2,Cohort move
Japan,MY 2022,2,2,Promotion
Japan,MY 2023,5,4,Cohort move
Japan,MY 2023,2,4,Promotion
Netherlands,MY 2022,1,2,Cohort move
Netherlands,MY 2023,2,4,Promotion
Saudi Arabia,EOY 2021,8,1,Cohort move
Saudi Arabia,EOY 2021,1,1,Promotion
Saudi Arabia,EOY 2022,12,3,Cohort move
Saudi Arabia,EOY 2022,5,3,Promotion
Saudi Arabia,MY 2022,4,2,Cohort move
Saudi Arabia,MY 2022,1,2,Promotion
Saudi Arabia,MY 2023,3,4,Cohort move
Saudi Arabia,MY 2023,4,4,Promotion
Singapore,MY 2022,1,2,Promotion
South Korea,EOY 2022,1,3,Cohort move
Spain,EOY 2021,1,1,Cohort move
Spain,MY 2022,1,2,Promotion
Sweden,EOY 2021,1,1,Promotion
Central Europe,EOY 2021,3,1,Cohort move
Central Europe,EOY 2021,1,1,Promotion
Central Europe,EOY 2022,2,3,Cohort move
Central Europe,EOY 2022,2,3,Promotion
Central Europe,MY 2023,1,4,Cohort move
Thailand,EOY 2021,1,1,Cohort move
Thailand,MY 2022,1,2,Cohort move
Turkey,EOY 2021,1,1,Cohort move
Turkey,EOY 2022,1,3,Cohort move
United Kingdom,EOY 2021,2,1,Cohort move
United Kingdom,EOY 2021,1,1,Promotion
United Kingdom,EOY 2022,3,3,Cohort move
United Kingdom,MY 2023,1,4,Cohort move
United States,EOY 2021,1,1,Promotion
United States,EOY 2022,2,3,Cohort move
United States,EOY 2022,1,3,Promotion
